folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Clinical Data/Diagnostic Studies/Lung Function,airflow_obstruction,Obstructive Lung Disease suspect,This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow.,choices,,noyes01,,,,
Lifestyle and Behavioral Health,alcohol_use,Alcohol Use,,choices,,never_current,,,,
Lifestyle and Behavioral Health,alcohol_use_disorder,Alcohol Use Disorder Risk,"Based on gender-specific cutoffs for weekly alcohol use provided by the National Institute for Alcohol Abuse and Alcoholism, this variable provides a risk level for developing an alcohol use disorder (craving, loss of control, physical dependence, tolerance, etc.)",choices,,alcohol_risk,,,,
Lifestyle and Behavioral Health,alcohol_use_level,Alcohol Use Drinking Level,"Using the weekly alcohol use cutoffs from alcohol_use_disorder, this variable combines never users and former users into a group called 'no current use'. Definitions of 'low level use' and 'high level use' correspond to those of 'low risk drinker' and 'at-risk drinker' from alcohol_use_disorder.",choices,,alcohol_use,,,,
Administrative,any_permit,Any permission for public use of data,Thi variable combines the 3 permission variables to determine whether or not a study participant gave any permission for public use of data.,choices,,use_permitted,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_c4,4-level grouped Asthma Status,,choices,,never_current_dk,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_c4_md,4-level grouped Asthma Status - by MD diagnosis,,choices,,never_current_dk,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_curr,Current Asthma,,choices,,noyesdk,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_curr_md,Currently have asthma with ever MD diagnosis,,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_ever,Ever had Asthma (self-report),,choices,,noyesu,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_ever_md,Ever had asthma with MD diagnosis,,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,asthma_meds,Asthma Med Use - self/scanned (curr asthma by MD diag),This variable combines scanned/transcribed anti-asthmatic medication use with self-report asthma medication use.,choices,,asthma_meds_noyes,,,,
Clinical Data/Diagnostic Studies/Lung Function,bd_response_abs,Bronchodilator Responsive by 15% change,This variable is based on the post-bronchodilator measurement of the FEV1. The airflow remains restricted after the administration of albuterol the person did not respond by greater than a 15% improvement over their first measurement. If PRBA29 is not missing and POBA29 is not missing and PRBA29 > 0 then.,choices,,bd_response,,,,
Demographics/Acculturation,bkgrd1,Background with Other reclassified,The self-identification with a Hispanic/Latino cultural group allowed for selection of an 'other' designation. This variable groups the test responses of 'other' for variations of 'Dominican' so that undercounts do not occur for that group.,choices,,latino_background,,,,
Demographics/Acculturation,bkgrd1_c6,Background with Other reclassified (collapsed categories),Variable collapses 'Central' and 'South American' categories into one group and the 'Other' and 'More than one heritage' categories into one group.,choices,,latino_background2,,,,
Demographics/Acculturation,bkgrd1_c7,7-level re-classification of Hispanic/Latino Background,Variable combined 'Other' and 'More than one heritage' categories into one group.,choices,,latino_background3,,,,
Anthropometry,bmi,Body Mass Index (BMI),,numeric,kilograms per meter squared,,,,TRUE,
Anthropometry,bmi_sol_sueno,"Body Mass Index at the Sueño clinic visit, using the SOL height",,numeric,kilograms per meter squared,,,,,
Anthropometry,bmigrp_c4,4-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range,,,,
Anthropometry,bmigrp_c4_sol_sueno,4-level grouped Body Mass Index - WHO at the Sueno visit using SOL height,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range,,,,
Anthropometry,bmigrp_c6,6-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range_c6,,,,
Anthropometry,bmigrp_c6_sol_sueno,6-level grouped Body Mass Index - WHO at Sueno visit using SOL height,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range_c6,,,,
Lifestyle and Behavioral Health,caffeine_intake,Cups of caffeinated beverages on a typical day,,numeric,cups,,,,,
Clinical Data/Laboratory Tests,cardiac_risk_ratio,Cardiac Risk Ratio (TC/HDL) - AHA,This variable calculates the ratio of total cholesterol by HDL cholesterol.,numeric,,,,,,
Medical History,cdcr,"Cerebrovascular Disease and Carotid Revascularization, self-report","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.",choices,,noyes01,,,,
Clinical Data/Incident Outcomes,cdcr_sueno,"Cerebrovascular Disease and Carotid Revascularization, self-reported at the Sueno clinic visit","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.",choices,,noyes01,,,,
Administrative,center,Center,This variable is the field center that was derived from the city of origin.,choices,,centerid,,,,
Administrative,centernum,Participant's Field Center - numeric,This variable is the field center that was derived from the city of origin.,choices,,siteid,,,TRUE,
General Health/Quality of Life,cesd10,CESD 10-item total summary score,"This variable is the sum of (WBEA1-WBEA10), where positively worded items (WBEA5, WBEA8) are reverse coded.  For participants with 1 or 2 missing items, CESD10 is equal to the weighted average of the nonmissing items*10.",numeric,,,,,,
General Health/Quality of Life,cesd10_sueno,CESD 10-item total summary score,"This variable is the sum of (WBEA1-WBEA10), administered at the Sueno visit, where positively worded items (WBEA5, WBEA8) are reverse coded.  For participants with 1 or 2 missing items, CESD10 is equal to the weighted average of the nonmissing items*10.",numeric,,,,,,
Medical History,chd_self,Self-reported CHD,This variable combines the self-reports of coronary revascularization or heart attack.,choices,,noyes01,,,,
Medical History,chd_self_sueno,Self-reported CHD at the Sueno visit,This variable combines the self-reports of coronary revascularization or heart attack.,choices,,noyes01,,,,
Lifestyle and Behavioral Health,cigarette_pack_years,Cigarette Pack Years,This variable calculates the cigarette pack years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,packs,,,,,
Lifestyle and Behavioral Health,cigarette_pack_years_c3,"Cigarette Pack Years (3-level, cutoff=10)",This variable groups cigaratte use into 3 categories,choices,,years,,,,
Lifestyle and Behavioral Health,cigarette_use,Cigarette Use,,choices,,never_current,,,,
Lifestyle and Behavioral Health,cigarettes_year,Adjusted Cigarettes per Year,This variable calculates the cigarette years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,cigarettes,,,,,
Clinical Data/Laboratory Tests,ckd,Chronic Kidney Disease using eGFR only (NIDDK),This variable estimated based on the estimated GFR value and is defined using NIDDK guidelines.,choices,,normal_endstage,,,,
Clinical Data/Vascular Measures,claudication_int,Intermittent Claudication - either leg,This variable defines intermittent claudication being present in either leg,choices,,noyesdk,,,,
Administrative/Study Design,cohort,Cohort Year (from Household Address Wave Assignment),This variable is an indicator of household sample address allocation and distribution for HCHS/SOL recruitment.,integer,,,,,,
Administrative,commercial_permit,Permission for for-profit use of data,This variable determines whether or not a study participant gave permission for use for for-profit use of study data.,choices,,use_permitted,,,,
Demographics/Employment,commutehome,Commute time to home,,numeric,minutes,,,,,
Demographics/Employment,commutework,Commute time to work,,numeric,minutes,,,,,
Administrative,consent,Consent to Participate in HCHS\SOL Study,This variable determines whether or not a study participant consented to participate in the baseline examination study.,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,copd_by_bd,COPD by BD Test,This indicator of COPD is based on the post-bronchodilator measurement of the FEV1 to FVC ratio.  The airflow remains restricted after the administration of albuterol.,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,copd_by_bd_allpre,COPD by BD Test (for all valid PRE_BD),This variable is based on the post-bronchodilator measurement of the FEV1 to FVC ratio. The airflow remains restricted after the administration of albuterol. This variable is also defined for all participants who did not conduct a post-spirometry exam. Defined only for valid spirometries.,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,copd_ever,Self-report of ever had COPD/Emph or CB,,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,copd_meds,COPD Med Use - self/scanned (ever COPD by MD diag),This variable combines scanned/transcribed anti-asthmatic medication use with self-report COPD medication use.,choices,,copd_meds_noyes,,,,
Clinical Data/Diagnostic Studies/Lung Function,copd_self,Self-report of ever had COPD/Emph,,choices,,noyes01,,,,
Lifestyle and Behavioral Health,current_smoker,Current Smoker (from CIGARETTE_USE),This variable is an indicator to denote current smoker status using the variable cigarette_use.,choices,,noyes01,,,,
Clinical Data/Vascular Measures,cvd_frame,Framingham CVD composite criterion,This variable is an indicator that defines a composite CVD definition based on the Framingham Study criterion.,choices,,noyes01,,,,
Administrative,days_s1m1,Days between HCHS clinic visit and Sueno clinic visit,,numeric,days,,,,,
Medical History,diab_diag,Diabetes Diagnosis,"This variable describes the diagnoses of diabetes and whether it was diagnosed before baseline, not diagnosed before baseline but possibly detected from lab data, or as non-diabetic.",choices,,diab_diag,,,,
Family History,diab_famhist,Family History of Diabetes,This variable describes the family history of diabetes.,choices,,noyes01,,,,
Medical History,diabetes_c4,4-level grouped diabetes (none/pre/treated/untreated),This variable assesses diabetes using variable diabetes3 and medication use based on variables muea33c and med_antidaib.,choices,,diabetes2,,,,
Medical History,diabetes_lab,3-level grouped Diabetes - Lab,This variable describes the stages of diabetes.,choices,,diabetes3,,,,
Medical History,diabetes_self,Diabetes - self report only,This variable indicates a self-report of diabetes.,choices,,noyes01,,,,
Clinical Data/Incident Outcomes,diabetes_self_sueno,"Diabetes - self report only, collected during the sueno clinic visit",This variable indicates a self-report of diabetes.,choices,,noyes01,,,,
Clinical Data/Incident Outcomes,diabetes_sueno,Diabetes (at Sueno visit) derived from SOL diagnosis and Sueno diabetes mellitus variables,,choices,,noyes01,,,,
Medical History,diabetes1,3-level grouped Diabetes ver.1,This variable describes the stages of diabetes.,choices,,diabetes3,,,,
Medical History,diabetes2,3-level grouped Diabetes - ADA,This variable describes the stages of diabetes based on American Diabetes Association definition.,choices,,diabetes3,,,,
Medical History,diabetes2_indicator,Diabetes Indicator - ADA,This variable is based on the Diabetes variable (version 2) stages of diabetes based on American Diabetes Association definition.,choices,,noyes01,,,,
Medical History,diabetes3,3-level grouped Diabetes - includes self-report,This variable describes the stages of diabetes based on American Diabetes Association definition with an additional self-report criterion.,choices,,diabetes,,,,
Lifestyle and Behavioral Health,diet_score_jama,Diet Score from 1st JAMA paper,,numeric,,,,,,
Lifestyle and Behavioral Health,diet_score_jama_c2,Categorized Diet Score JAMA,,choices,,jama_diet_score,,,,
Clinical Data/Diagnostic Studies/Neurocognitive,digitsymbol,Digit Symbo Substitution Score (NEEA14),This variable is for the score of the digit symbol substitution test. Only defined for participants who took a neurocognitive assessment (NEE form).,numeric,,,,,,
Lifestyle and Behavioral Health,dm_aware,Diabetes awareness at baseline,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,choices,,aware,,,,
Lifestyle and Behavioral Health,dm_aware_sueno,Diabetes awareness at the Sueno visit,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,choices,,aware,,,,
Medical History,dm_control,Diabetes controlled: DM Classified at Baseline and A1C < 7%,This variable indicates controlled diabetes. Defined only for diabetics.,choices,,diabetes4,,,,
Administrative,dna_available,DNA Available,This variable determines whether or not a study participant had blood draws successfully conducted without incidents or problems for tubes 4 and 5 to make DNA available to investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,,noyes01,,,,
Medical History,doctor_visit,Doctor/HCP number of visits in past 12 months,This variable defines grouped categories for the number of times a participant has visited the doctor in the last 12 months.,choices,,visit_range,,,,
Clinical Data/Laboratory Tests,dyslipidemia,"Dyslipidemia (High LDL, low HDL, or high triglyerides) - NIH","This variable checks for HDL, LDL, and triglyceride values to determine presence/absence of dyslipidemia.",choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Neurocognitive,ecg_maj,Major ECG Abnormalities,This variable is defined only for participants that have ECG data.,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Neurocognitive,ecg_min,Minor ECG Abnormalities,This variable is defined only for participants that have ECG data.,choices,,noyes01,,,,
Demographics/Education,education_c2,Education Status (2 levels),"This variable is the educational status derived from variable groups of the attainment of a high school diploma or an equivalent degree, or not having that degree.",choices,,education_level2,,,,
Demographics/Education,education_c3,Education Status (3 levels),"This variable is the educational status derived from variable groups of the attainment of a high school diploma or an equivalent degree, not having that degree, or attainment of education beyond a high school equivalent (i.e. college or vocational).",choices,,education_level3,,,,
Demographics/Employment,employed,Employment Status (includes retirees),This variable groups the employment status of the participant.,choices,,employment,,,,
Sleep Questionnaires/Hypersomnia,ess,Epworth Sleepiness Scale,"This is an integer value with range from 0-24. The Epworth Sleepiness Scale assesses the daytime sleepiness of patients. Dr Murray W Johns owns the copyright in the ESS (Copyright © M.W.Johns 1990-1997). The official website is [http://epworthsleepinessscale.com/](http://epworthsleepinessscale.com/). Algorithm: The ESS is computed by adding ALL 8 ITEMS (SLEA12A TO SLEA12H). If any item is missing then ESS is missing. Warning: The levels of each item need to be recoded as follows: No chance (from 1 to 0), slight chance (from 2 to 1), moderate chance (from 3 to 2) and high chance (from 4 to 3).",integer,,,,,,
Sleep Questionnaires/Hypersomnia,ess_ge10,Excessive sleepiness (ESS>=10),,choices,,noyes01,,,,
Sleep Questionnaires/Hypersomnia,ess_ge10_sueno,"Excessive sleepiness, collected at the Sueno visit","Excessive daytime sleepiness, as defined as an ESS score greater than or equal to 10",choices,,noyes01,,,,
Sleep Questionnaires/Hypersomnia,ess_sueno,Epworth Sleepiness Scale,"This is an integer value with range from 0-24. The Epworth Sleepiness Scale assesses the daytime sleepiness of patients. Dr Murray W Johns owns the copyright in the ESS (Copyright © M.W.Johns 1990-1997). The website is [http://epworthsleepinessscale.com](http://epworthsleepinessscale.com). Algorithm: The ESS_SUENO is computed by adding ALL 8 ITEMS (SPEA12A TO SPEA12H). If any item is missing then ESS_SUENO is missing. Warning: The levels of each item need to be recoded as follows: No chance (from 1 to 0), slight chance (from 2 to 1), moderate chance (from 3 to 2) and high chance (from 4 to 3).",integer,,,,,,
Demographics/Acculturation,ethis,Ethnic identity score,Variable indicates the degree of ethnic identity.,numeric,,,,,,
Family History,ever_angina_relative,At least one relative had report of angina,"This variable combines self-report of angina for immediate family relatives, i.e. mother, father, and sibling(s).",choices,,noyes01,,,,
Family History,ever_cabg_relative,At least one relative had report of CABG or angioplasty,"This variable combines self-report of variable cabg or angioplasty for immediate family relatives, i.e. mother, father, and sibling(s).",choices,,noyes01,,,,
Family History,ever_mi_relative,At least one relative had report of heart attack,"This variable combines self-report of heart attack for immediate family relatives, i.e. mother, father, and sibling(s).",choices,,noyes01,,,,
Lifestyle and Behavioral Health,exposure_year,Adjusted Years Smoked,This variable calculates the years a participant smoked cigarettes. This is calculated using the difference from the age the participant began smoking to either the participant's age at baseline examination or the age that the participant quit smoking (if applicable).,numeric,years,,,,,
Administrative,external_permit,Permission for investigators outside HCHS/SOL,This variable determines whether or not a study participant gave permission for use for investigators outside HCHS/SOL.,choices,,use_permitted,,,,
Clinical Data/Diagnostic Studies/Lung Function,fev1_fvc_ratio,FEV1/FVC Ratio,This variable is the ratio of forced expiratory volume in one minute (FEV1 ) to forced vital capacity (FVC) expressed as a percentage. ,numeric,,,,,,
Family History,fh_chd,Family history of CHD including self-reported angina,"This variable combines the self-reports of angina, heart attack, or procedure (angioplasty, stent, bypass) for immediate family relatives, i.e. mother, father, and sibling(s).",choices,,noyes01,,,,
Family History,fh_stroke,Family history of stroke,"This variable combines the self-reports of stroke for immediate family relatives, i.e. mother, father, and sibling(s).",choices,,noyes01,,,,
Administrative,flag_agege65,Age greater than or equal to 65 or less than 18,,choices,,ageflag,,,,
Administrative,flag_ahigt50,AHI greater than 50,,choices,,ahiflag,,,,
Administrative,flag_bkgrd,Ineligible Hispanic background for site,,choices,,bkgrdflag,,,,
Administrative,flag_monthsgt30,Sueno visit date more than 31+ months since SOL visit,,choices,,monthsflag,,,,
Administrative,flag_narc,Narcolepsy diagnosis,,choices,,narcflag,,,,
Administrative,flag_osa,Treated for OSA,,choices,,osaflag,,,,
Clinical Data/Vascular Measures,frame_cvd_risk_10yr,Framingham CVD - 10 year risk (w/lab predictors),This variable defines the Framingham CVD 10 year risk using lab predictors based on the Framingham Study criterion for participants. Individuals 30 to 74 years old only.,numeric,,,,,,
Administrative,full_afu_eligible,Annual Follow-Up Eligibity (minimum set of forms present),This variable defines a participant as meeting all requirements to determine if eligible for annual follow-up.,choices,,noyes01,,,,
Demographics,gender,"Gender (F=Female, M=Male)",This variable describes the participant's gender.,choices,,gender,,,,
Demographics,gendernum,Gender,This variable describes the participant's gender.,choices,,gender2,,,TRUE,
Administrative,genotyping,Full consent for genotyping,This variable determines whether or not a study participant fully consented to genotyping for use with investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,,noyes01,,,,
Clinical Data/Laboratory Tests,gfrscr,"eGFR based on serum creatinine, gender, age and race","This variable estimates Glomerular filtration rate, based on serum creatinine, and demographics gender, age and race (black vs. nonblack).",numeric,,,,,,
Clinical Data/Laboratory Tests,gfrscys,eGFR based on serum cystatin C w/o demographics,"This variable estimates Glomerular filtration rate, based on serum cystatin C and no demographic factors.",numeric,,,,,,
Clinical Data/Laboratory Tests,gfrscys_scr,"eGFR based on serum cystatin C, serum creatinine, gender, age, and race","This variable estimates Glomerular filtration rate, based on serum cystatin C, serum creatinine, and demographics gender, age and race (black vs. nonblack).",numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_level,"Physical activity level (low, mod, high)","This variable assigns a value of 1 assigned to those with high total physical activity levels, a value of 2 to those with moderate total physical activity levels and a value of 3 to those with low total physical activity levels.",choices,,active_level,,,,
Lifestyle and Behavioral Health,gpaq_mod_week,GPAQ - Total physical (moderate) activity (min/week),This variable that finds the average amount of time spent per week doing moderate physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_mv_week,GPAQ - Total physical activity (min/week),This variable that finds the average amount of time spent per week doing any physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_pag2008,Activity level per 2008 PA guidelines (categorical - 4 levels),This variable that contains the level of physical activity per the 2008 PA guidelines.,choices,,active_level4,,,,
Lifestyle and Behavioral Health,gpaq_pag2008yn,Meets 2008 activity level guidelines,This variable determines whether or not high or medium activity level has been met based on variable gpaq_pag2008 (all counts).,choices,,noyes01,,,,
Lifestyle and Behavioral Health,gpaq_rec,Recreational physical activity (min/day),This variable finds the total time per day doing some form of recreational physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_rec_mod,Recreational physical (moderate) activity (min/day),This variable calculates the average amount of time spent per day doing a moderate recreational physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_rec_vig,Recreational physical (vigorous) activity (min/day),This variable calculates the average amount of time spent per day doing a vigorous recreational physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_total,Total physical activity (min/day),This variable shows the average amount of time spent doing some form of physical activity in a week.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_total_met,Total physical activity (MET-min/day),This variable calculates the total amount of time spent doing some form of physical activity in a week.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_total_mod,Total physical (moderate) activity (min/day),This variable finds the average amount of time spent per day doing moderate physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_total_vig,Total physical (vigorous) activity (min/day),This variable finds the average amount of time spent per day doing vigorous physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_trsport,Transportation-related physical activity (min/day),This variable calculates the average amount of time spent per day walking or biking to and from a place.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_vig_week,GPAQ - Total physical (vigorous) activity (min/week),This variable finds the average amount of time spent per week doing vigorous physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_work,Work-related physical activity (min/day),This variable finds the total time per day doing some form of work-related physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_work_mod,Work-related (moderate) physical activity (min/day),This variable calculates the average amount of time spent per day doing a moderate work-related physical activity.,numeric,,,,,,
Lifestyle and Behavioral Health,gpaq_work_vig,Work-related (vigorous) physical activity (min/day),This variable calculates the average amount of time spent per day doing a vigorous work-related physical activity.,numeric,,,,,,
Clinical Data/Laboratory Tests,hba1c_si,"Glycosylated Hemoglobin (HbA1c) in SI units (mmol/mol), nearest integer",,integer,mmol per mol,,,,,
Anthropometry,height,Height (corrected),During two time periods the standing height as measured at the Bronx site was incorrect due to a mis-mounted stadiometer used in measuring all participants. The derived variable was implemented based on a recommendation from the Quality Control subcommittee.,numeric,centimeters,,,,,
Clinical Data/Laboratory Tests,high_total_chol,"Hypercholesterolemia (from LABA66,LABA68,LABA69,MED_LLD)","This variable checks for Total cholesterol, HDL, LDL, and antihyperlipidemic medication use values to determine presence/absence of hypercholesterolemia.",choices,,noyes01,,,,
Clinical Data/Laboratory Tests,homa_b,HOMA index of Beta Cell Function,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,,,,,,
Clinical Data/Laboratory Tests,homa_ir,HOMA index of Insulin Resistance,This variable defines the Homeostasis model assessment of insulin resistance.,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_extrafam_cnt_sueno,Extrafamilial stress non-missing item count,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_extrafam_sueno,Extrafamilial stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_fam_cul_cnt_sueno,"Familial or cultural confilict, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_fam_cul_sueno,Familial or cultural conflict,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_immig_cnt_sueno,"Immigration stress count, non-missing items",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_immig_sueno,Immigration stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_intrafam_cnt_sueno,"Intrafamilial stress, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_intrafam_sueno,Intrafamilial stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_marital_cnt_sueno,"Marital stress, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_marital_sueno,Marital stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_occ_eco_cnt_sueno,"Occupational or economic stress, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_occ_eco_sueno,Occupational or economic stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_parental_cnt_sueno,"Parental stress, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_parental_sueno,Parental stress,,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_tot_cnt_sueno,"Total score, non-missing item count",,numeric,,,,,,
General Health/Hispanic Stress Inventory (HIS),hsi_tot_sueno,Total score,,numeric,,,,,,
Lifestyle and Behavioral Health,hypert_awareness,Awareness of Hypertension - NHANES,This variable is defined by the self-report of doctor's diagnosis of hypertension for those who were defined as having hypertension using the NHANES definition only.,choices,,noyes01,,,,
Medical History,hypert_control,Control of Hypertension - NHANES,This variable is defined for participants whose blood pressure are below the cutoff of 140/90 (both systolic and diastolic must be less than the cutoff values) for those who were defined as having hypertension using the NHANES definition only and also indicated whether or not they were receiving treatment for hypertension.,choices,,noyes01,,,,
Medical History,hypert_treatment,Treatment of Hypertension - NHANES,This variable is defined by the participant's self-report awareness of hypertension and self-report use of antihypertensive medications for those who were defined as having hypertension using the NHANES definition only.,choices,,noyes01,,,,
Medical History,hypertension,Hypertension (BP>=140/90 and Med Use),Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,choices,,noyes01,,,,
Medical History,hypertension_c4,4-level grouped hypertension (none/pre/treated/untreated),This variable classifies participants into 4 categories based on hypertension and hypertensive.,choices,,hyper_level,,,,
