,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
493,Administrative,full_afu_eligible,Annual Follow-Up Eligibity (minimum set of forms present),Annual Follow-Up Eligibity (minimum set of forms present),This variable defines a participant as meeting all requirements to determine if eligible for annual follow-up.,This variable defines a participant as meeting all requirements to determine if eligible for annual follow-up.,choices,,noyes01,,NA,NA,NA,NA
494,Administrative,genotyping,Full consent for genotyping,Full consent for genotyping,This variable determines whether or not a study participant fully consented to genotyping for use with investigators associated or not associated to HCHS/SOL and specialized laboratories.,This variable determines whether or not a study participant fully consented to genotyping for use with investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,,noyes01,,NA,NA,NA,NA
495,Administrative,np_permit,Permission for non-profit use of data,Permission for non-profit use of data,This variable determines whether or not a study participant gave permission for non-profit use of study data.,This variable determines whether or not a study participant gave permission for non-profit use of study data.,choices,,use_permitted,,NA,NA,NA,NA
496,Administrative,pid,Random BioLINCC ID for LAD,Random BioLINCC ID for LAD,,,identifier,,,,NA,TRUE,NA,NA
497,Administrative,sueno_eligible,Eligible Sueno participant,Eligible Sueno participant,,,choices,,noyes01,,NA,NA,NA,NA
498,Administrative,vnum,Visit Number,Visit Number,,,choices,,vnum,,NA,TRUE,NA,NA
573,Administrative/Study Design,cohort,Cohort Year (from Household Address Wave Assignment),Cohort Year (from Household Address Wave Assignment),This variable is an indicator of household sample address allocation and distribution for HCHS/SOL recruitment.,This variable is an indicator of household sample address allocation and distribution for HCHS/SOL recruitment.,integer,,,,NA,NA,NA,NA
574,Administrative/Study Design,list_cnt,Sample List-level Hispanic Household Frame Counts,Sample List-level Hispanic Household Frame Counts,This variable is the sample design list household frame count variable used in statistical analyses.,This variable is the sample design list household frame count variable used in statistical analyses.,numeric,,,,NA,NA,NA,NA
575,Administrative/Study Design,listnum,List Address Record Assigned,List Address Record Assigned,This variable is the sample design variable used in statistical analyses.,This variable is the sample design variable used in statistical analyses.,choices,,hispanic_address,,NA,NA,NA,NA
576,Administrative/Study Design,psu_cnt,BG-level Hispanic Household Frame Counts,BG-level Hispanic Household Frame Counts,This variable is the sample design clustering household frame count variable used in statistical analyses.,This variable is the sample design clustering household frame count variable used in statistical analyses.,numeric,,,,NA,NA,NA,NA
577,Administrative/Study Design,psu_id,Primary Sampling Unit ID,Primary Sampling Unit ID,This variable is the sample design clustering variable used in statistical analyses as the cluster variable that is combination of the field center and selected block group identifier.,This variable is the sample design clustering variable used in statistical analyses as the cluster variable that is combination of the field center and selected block group identifier.,numeric,,,,NA,NA,NA,NA
578,Administrative/Study Design,strat,Stratification Variable ID,Stratification Variable ID,"This variable is the sample design stratification variable used in statistical analyses as the stratum variable that is a combination of field center, Hispanic household proportion, and SES.","This variable is the sample design stratification variable used in statistical analyses as the stratum variable that is a combination of field center, Hispanic household proportion, and SES.",numeric,,,,NA,NA,NA,NA
579,Administrative/Study Design,strat_cnt,Stratum-level Hispanic Household Frame Counts,Stratum-level Hispanic Household Frame Counts,This variable is the sample design stratification household frame variable used in statistical analyses.,This variable is the sample design stratification household frame variable used in statistical analyses.,numeric,,,,NA,NA,NA,NA
580,Administrative/Study Design,weight_final_expanded,Expanded Census 2010 Final Calibrated Trimmed Nonresponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),Expanded Census 2010 Final Calibrated Trimmed Nonresponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),"The calibrated sample weight is the calibrated, trimmed, non-response adjusted reciprocal of a participant's probability of selection into the HCHS/SOL study. The trimmed, nonresponse adjusted sample weights were calibrated using first the 7-category Hispanic Background distribution and then the 12-category age group/gender distribution using the 2010 Decennial Census. This variable is used for analyses purposes only.","The calibrated sample weight is the calibrated, trimmed, non-response adjusted reciprocal of a participant's probability of selection into the HCHS/SOL study. The trimmed, nonresponse adjusted sample weights were calibrated using first the 7-category Hispanic Background distribution and then the 12-category age group/gender distribution using the 2010 Decennial Census. This variable is used for analyses purposes only.",numeric,,,,NA,NA,NA,NA
581,Administrative/Study Design,weight_final_norm_center,FC-specific Normalized Census 2010 Calibrated Trimmed NonResponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),FC-specific Normalized Census 2010 Calibrated Trimmed NonResponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),"The FC-specific normalized sample weight is the field center specific normalized, calibrated, trimmed, non-response adjusted (household and person-level) reciprocal of a participant's probability of selection into the HCHS/SOL study. The calibrated, trimmed, non-response adjusted sample weights were normalized using the weighted mean divided by weighted standard deviation calculated for each field center separately and used to normalize the expanded calibrated sample weights (WEIGHT_Final_Norm_Center). This final sample weight variable is used for analyses purposes only when the subpopulation is restricted to within a single site.","The FC-specific normalized sample weight is the field center specific normalized, calibrated, trimmed, non-response adjusted (household and person-level) reciprocal of a participant's probability of selection into the HCHS/SOL study. The calibrated, trimmed, non-response adjusted sample weights were normalized using the weighted mean divided by weighted standard deviation calculated for each field center separately and used to normalize the expanded calibrated sample weights (WEIGHT_Final_Norm_Center). This final sample weight variable is used for analyses purposes only when the subpopulation is restricted to within a single site.",numeric,,,,NA,NA,NA,NA
582,Administrative/Study Design,weight_final_norm_overall,Overall Sample Normalized Census 2010 Calibrated Trimmed NonResponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),Overall Sample Normalized Census 2010 Calibrated Trimmed NonResponse Adjusted Final Weights - Year 1-3 (frozen as of 10/27/2011),"The normalized sample weight is the overall normalized, calibrated, trimmed, nonresponse adjusted (household and person-level) reciprocal of a participant's probability of selection into the HCHS/SOL study. The base sample weights, i.e. the reciprocal of a participant's probability of selection into the HCHS/SOL study, were first adjusted by household-level and person-level non-response. The non-response adjusted sample weights were then trimmed using the selected average percentile that minimizes model MSE within each field center. All sample weights that fell above the selected percentile were trimmed to the selected percentile and the trimmed difference was evenly distributed among all of the non-trimmed sample weights. The trimmed, non-response adjusted sample weights were then calibrated using first the 7-category Hispanic Background distribution and then the 12-category age group/gender distribution using the 2010 Decennial Census. Finally, these calibrated, trimmed, non-response adjusted sample weights were normalized using the weighted mean divided by weighted standard deviation of the entire HCHS/SOL sample to normalize the expanded calibrated sample weights (WEIGHT_Final_Norm_Overall). This final sample weight variable is used for analyses purposes only.","The normalized sample weight is the overall normalized, calibrated, trimmed, nonresponse adjusted (household and person-level) reciprocal of a participant's probability of selection into the HCHS/SOL study. The base sample weights, i.e. the reciprocal of a participant's probability of selection into the HCHS/SOL study, were first adjusted by household-level and person-level non-response. The non-response adjusted sample weights were then trimmed using the selected average percentile that minimizes model MSE within each field center. All sample weights that fell above the selected percentile were trimmed to the selected percentile and the trimmed difference was evenly distributed among all of the non-trimmed sample weights. The trimmed, non-response adjusted sample weights were then calibrated using first the 7-category Hispanic Background distribution and then the 12-category age group/gender distribution using the 2010 Decennial Census. Finally, these calibrated, trimmed, non-response adjusted sample weights were normalized using the weighted mean divided by weighted standard deviation of the entire HCHS/SOL sample to normalize the expanded calibrated sample weights (WEIGHT_Final_Norm_Overall). This final sample weight variable is used for analyses purposes only.",numeric,,,,NA,NA,NA,NA
583,Administrative/Study Design,weight_norm_overall_sueno,Sueno sampling weight,Sueno sampling weight,,,numeric,,,,NA,NA,NA,NA
499,Anthropometry,bmi,Body Mass Index (BMI),Body Mass Index (BMI),,,numeric,kilograms per meter squared,,,NA,TRUE,NA,NA
500,Anthropometry,bmi_sol_sueno,"Body Mass Index at the Sueño clinic visit, using the SOL height","Body Mass Index at the Sueño clinic visit, using the SOL height",,,numeric,kilograms per meter squared,,,NA,NA,NA,NA
501,Anthropometry,bmigrp_c4,4-level grouped Body Mass Index - WHO,4-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range,,NA,NA,NA,NA
502,Anthropometry,bmigrp_c4_sol_sueno,4-level grouped Body Mass Index - WHO at the Sueno visit using SOL height,4-level grouped Body Mass Index - WHO at the Sueno visit using SOL height,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range,,NA,NA,NA,NA
503,Anthropometry,bmigrp_c6,6-level grouped Body Mass Index - WHO,6-level grouped Body Mass Index - WHO,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range_c6,,NA,NA,NA,NA
504,Anthropometry,bmigrp_c6_sol_sueno,6-level grouped Body Mass Index - WHO at Sueno visit using SOL height,6-level grouped Body Mass Index - WHO at Sueno visit using SOL height,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,This variable is created using the calculated body mass index to define categories based on current WHO (World Health Organization) classifications,choices,,bmi_range_c6,,NA,NA,NA,NA
505,Anthropometry,height,Height (corrected),Height (corrected),During two time periods the standing height as measured at the Bronx site was incorrect due to a mis-mounted stadiometer used in measuring all participants. The derived variable was implemented based on a recommendation from the Quality Control subcommittee.,During two time periods the standing height as measured at the Bronx site was incorrect due to a mis-mounted stadiometer used in measuring all participants. The derived variable was implemented based on a recommendation from the Quality Control subcommittee.,numeric,centimeters,,,NA,NA,NA,NA
506,Anthropometry,waist_hip,Waist to Hip Ratio,Waist to Hip Ratio,,,numeric,,,,NA,NA,NA,NA
507,Blood Pressure,abi_overall,Overall Ankle Branchial Index (occlusion failure included),Overall Ankle Branchial Index (occlusion failure included),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values. The overall ABI is the mean of those two measurements.,Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values. The overall ABI is the mean of those two measurements.,numeric,,,,NA,NA,NA,NA
508,Blood Pressure,abigrp_c4,4-level grouped Ankle Brachial Index (occ. failure incl.),4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,This variable groups left and right ABI into 4 categories.,choices,,abi,,NA,NA,NA,NA
509,Blood Pressure,left_abi,Left Ankle Branchial Index (occ. failure incl.),Left Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,,,,NA,NA,NA,NA
510,Blood Pressure,left_abigrp_c4,Left 4-level grouped Ankle Brachial Index (occ. failure incl.),Left 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,This variable groups left and right ABI into 4 categories.,choices,,abi,,NA,NA,NA,NA
511,Blood Pressure,right_abi,Right Ankle Branchial Index (occ. failure incl.),Right Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,,,,NA,NA,NA,NA
512,Blood Pressure,right_abigrp_c4,Right 4-level grouped Ankle Brachial Index (occ. failure incl.),Right 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,This variable groups left and right ABI into 4 categories.,choices,,abi,,NA,NA,NA,NA
526,Clinical Characteristics,cvd_frame,Framingham CVD composite criterion,Framingham CVD composite criterion,This variable is an indicator that defines a composite CVD definition based on the Framingham Study criterion.,This variable is an indicator that defines a composite CVD definition based on the Framingham Study criterion.,choices,,noyes01,,NA,NA,NA,NA
894,Clinical Data/Diagnostic Studies/Lung Function,airflow_limitation,Airflow Limitation (pre FEV1/FVC<70 only),Airflow Limitation (pre FEV1/FVC<70 only),This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow. Defined only for valid spirometries.,This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow. Defined only for valid spirometries.,choices,,noyes01,,NA,NA,NA,NA
895,Clinical Data/Diagnostic Studies/Lung Function,airflow_obstruction,Obstructive Lung Disease suspect,Obstructive Lung Disease suspect,This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow.,This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow.,choices,,noyes01,,NA,NA,NA,NA
896,Clinical Data/Diagnostic Studies/Lung Function,asthma_c4,4-level grouped Asthma Status,4-level grouped Asthma Status,,,choices,,never_current_dk,,NA,NA,NA,NA
897,Clinical Data/Diagnostic Studies/Lung Function,asthma_c4_md,4-level grouped Asthma Status - by MD diagnosis,4-level grouped Asthma Status - by MD diagnosis,,,choices,,never_current_dk,,NA,NA,NA,NA
898,Clinical Data/Diagnostic Studies/Lung Function,asthma_curr,Current Asthma,Current Asthma,,,choices,,noyesdk,,NA,NA,NA,NA
899,Clinical Data/Diagnostic Studies/Lung Function,asthma_curr_md,Currently have asthma with ever MD diagnosis,Currently have asthma with ever MD diagnosis,,,choices,,noyes01,,NA,NA,NA,NA
900,Clinical Data/Diagnostic Studies/Lung Function,asthma_ever,Ever had Asthma (self-report),Ever had Asthma (self-report),,,choices,,noyesu,,NA,NA,NA,NA
901,Clinical Data/Diagnostic Studies/Lung Function,asthma_ever_md,Ever had asthma with MD diagnosis,Ever had asthma with MD diagnosis,,,choices,,noyes01,,NA,NA,NA,NA
902,Clinical Data/Diagnostic Studies/Lung Function,asthma_meds,Asthma Med Use - self/scanned (curr asthma by MD diag),Asthma Med Use - self/scanned (curr asthma by MD diag),This variable combines scanned/transcribed anti-asthmatic medication use with self-report asthma medication use.,This variable combines scanned/transcribed anti-asthmatic medication use with self-report asthma medication use.,choices,,asthma_meds_noyes,,NA,NA,NA,NA
903,Clinical Data/Diagnostic Studies/Lung Function,bd_response_abs,Bronchodilator Responsive by 15% change,Bronchodilator Responsive by 15% change,This variable is based on the post-bronchodilator measurement of the FEV1. The airflow remains restricted after the administration of albuterol the person did not respond by greater than a 15% improvement over their first measurement. If PRBA29 is not missing and POBA29 is not missing and PRBA29 > 0 then.,This variable is based on the post-bronchodilator measurement of the FEV1. The airflow remains restricted after the administration of albuterol the person did not respond by greater than a 15% improvement over their first measurement. If PRBA29 is not missing and POBA29 is not missing and PRBA29 > 0 then.,choices,,bd_response,,NA,NA,NA,NA
904,Clinical Data/Diagnostic Studies/Lung Function,copd_by_bd,COPD by BD Test,COPD by BD Test,This indicator of COPD is based on the post-bronchodilator measurement of the FEV1 to FVC ratio.  The airflow remains restricted after the administration of albuterol.,This indicator of COPD is based on the post-bronchodilator measurement of the FEV1 to FVC ratio.  The airflow remains restricted after the administration of albuterol.,choices,,noyes01,,NA,NA,NA,NA
905,Clinical Data/Diagnostic Studies/Lung Function,copd_by_bd_allpre,COPD by BD Test (for all valid PRE_BD),COPD by BD Test (for all valid PRE_BD),This variable is based on the post-bronchodilator measurement of the FEV1 to FVC ratio. The airflow remains restricted after the administration of albuterol. This variable is also defined for all participants who did not conduct a post-spirometry exam. Defined only for valid spirometries.,This variable is based on the post-bronchodilator measurement of the FEV1 to FVC ratio. The airflow remains restricted after the administration of albuterol. This variable is also defined for all participants who did not conduct a post-spirometry exam. Defined only for valid spirometries.,choices,,noyes01,,NA,NA,NA,NA
906,Clinical Data/Diagnostic Studies/Lung Function,copd_ever,Self-report of ever had COPD/Emph or CB,Self-report of ever had COPD/Emph or CB,,,choices,,noyes01,,NA,NA,NA,NA
907,Clinical Data/Diagnostic Studies/Lung Function,copd_meds,COPD Med Use - self/scanned (ever COPD by MD diag),COPD Med Use - self/scanned (ever COPD by MD diag),This variable combines scanned/transcribed anti-asthmatic medication use with self-report COPD medication use.,This variable combines scanned/transcribed anti-asthmatic medication use with self-report COPD medication use.,choices,,copd_meds_noyes,,NA,NA,NA,NA
908,Clinical Data/Diagnostic Studies/Lung Function,copd_self,Self-report of ever had COPD/Emph,Self-report of ever had COPD/Emph,,,choices,,noyes01,,NA,NA,NA,NA
909,Clinical Data/Diagnostic Studies/Lung Function,fev1_fvc_ratio,FEV1/FVC Ratio,FEV1/FVC Ratio,This variable is the ratio of forced expiratory volume in one minute (FEV1 ) to forced vital capacity (FVC) expressed as a percentage. ,This variable is the ratio of forced expiratory volume in one minute (FEV1 ) to forced vital capacity (FVC) expressed as a percentage. ,numeric,,,,NA,NA,NA,NA
910,Clinical Data/Diagnostic Studies/Lung Function,mrc_cb,Chronic Productive Cough 3+ mths in 2+ yrs,Chronic Productive Cough 3+ mths in 2+ yrs,,,choices,,noyes01,,NA,NA,NA,NA
911,Clinical Data/Diagnostic Studies/Lung Function,phlegm,Phlegm day/night 3 months in a row,Phlegm day/night 3 months in a row,,,choices,,noyes01,,NA,NA,NA,NA
912,Clinical Data/Diagnostic Studies/Lung Function,pneumonia,Pneumonia,Pneumonia,,,choices,,noyes01,,NA,NA,NA,NA
913,Clinical Data/Diagnostic Studies/Lung Function,postbd_expected,Post-BD Expected (among valid spirometry,Post-BD Expected (among valid spirometry,"This variable is a flag for whether a post bronchodilator was expected, based on the premeasurement.  A post measurement was expected if the FEV1 to FVC ratio was less than 70% or less than the lower limit of normal for FEV1/FVC%.","This variable is a flag for whether a post bronchodilator was expected, based on the premeasurement.  A post measurement was expected if the FEV1 to FVC ratio was less than 70% or less than the lower limit of normal for FEV1/FVC%.",choices,,noyes01,,NA,NA,NA,NA
914,Clinical Data/Diagnostic Studies/Lung Function,postbd_prebd_diff,Post(FEV1%pred)-Pre(FEV1%pred),Post(FEV1%pred)-Pre(FEV1%pred),"This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examinations must be valid).","This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examinations must be valid).",numeric,,,,NA,NA,NA,NA
915,Clinical Data/Diagnostic Studies/Lung Function,postbd_prebd_diff_gt12_v2,Post(FEV1%pred)-Pre(FEV1%pred)>=12% (pre FEV1/FVC<70 only),Post(FEV1%pred)-Pre(FEV1%pred)>=12% (pre FEV1/FVC<70 only),"This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examination must be valid) among participants with pre FEV1/FVC<70 only (ignores LLN comparison).","This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examination must be valid) among participants with pre FEV1/FVC<70 only (ignores LLN comparison).",numeric,,,,NA,NA,NA,NA
916,Clinical Data/Diagnostic Studies/Lung Function,valid_spirometry,Valid Spirometry Studies (Pre),Valid Spirometry Studies (Pre),This variable is an overall data quality indicator derived by the pulmonary reading center on the adequacy study for use.,This variable is an overall data quality indicator derived by the pulmonary reading center on the adequacy study for use.,choices,,noyes01,,NA,NA,NA,NA
917,Clinical Data/Diagnostic Studies/Lung Function,valid_spirometry_postbd,Valid Spirometry Studies (Post BD),Valid Spirometry Studies (Post BD),This variable is an overall data quality indicator derived by the pulmonary reading center on the adequacy study for use.,This variable is an overall data quality indicator derived by the pulmonary reading center on the adequacy study for use.,choices,,noyes01,,NA,NA,NA,NA
918,Clinical Data/Diagnostic Studies/Lung Function,valid_spirometry_postbd_v2,Valid post-spirometry (A-D grading) adjusted for unexpected BDs,Valid post-spirometry (A-D grading) adjusted for unexpected BDs,This variable is a flag for whether a post bronchodilator was valid (grade A-D).  Defined only for participants where a post measurement was expected.,This variable is a flag for whether a post bronchodilator was valid (grade A-D).  Defined only for participants where a post measurement was expected.,choices,,valid,,NA,NA,NA,NA
919,Clinical Data/Diagnostic Studies/Lung Function,wheeze_last12,Wheezing in last 12 months,Wheezing in last 12 months,,,choices,,noyes01,,NA,NA,NA,NA
920,Clinical Data/Diagnostic Studies/Lung Function,wheeze_sb,Wheezing ever with shortness of breath,Wheezing ever with shortness of breath,,,choices,,noyes01,,NA,NA,NA,NA
882,Clinical Data/Diagnostic Studies/Neurocognitive,digitsymbol,Digit Symbo Substitution Score (NEEA14),Digit Symbo Substitution Score (NEEA14),This variable is for the score of the digit symbol substitution test. Only defined for participants who took a neurocognitive assessment (NEE form).,This variable is for the score of the digit symbol substitution test. Only defined for participants who took a neurocognitive assessment (NEE form).,numeric,,,,NA,NA,NA,NA
883,Clinical Data/Diagnostic Studies/Neurocognitive,ecg_maj,Major ECG Abnormalities,Major ECG Abnormalities,This variable is defined only for participants that have ECG data.,This variable is defined only for participants that have ECG data.,choices,,noyes01,,NA,NA,NA,NA
884,Clinical Data/Diagnostic Studies/Neurocognitive,ecg_min,Minor ECG Abnormalities,Minor ECG Abnormalities,This variable is defined only for participants that have ECG data.,This variable is defined only for participants that have ECG data.,choices,,noyes01,,NA,NA,NA,NA
885,Clinical Data/Diagnostic Studies/Neurocognitive,no_disability_6item,No Diability on NEEA5-7,No Diability on NEEA5-7,,,choices,,noyes01,,NA,NA,NA,NA
886,Clinical Data/Diagnostic Studies/Neurocognitive,sevlt_3trials,"SEVTL, Sum of 3 Trials (NEEA8=10)","SEVTL, Sum of 3 Trials (NEEA8=10)",This variable is the sum of the scores of the first 3 trials of the SEVLT test. Only defined for participants who took a neurocognitive assessment (NEE form).,This variable is the sum of the scores of the first 3 trials of the SEVLT test. Only defined for participants who took a neurocognitive assessment (NEE form).,numeric,,,,NA,NA,NA,NA
887,Clinical Data/Diagnostic Studies/Neurocognitive,sevlt_recall,"SEVLT, Delay Recall (NEEA11 with re-coding)","SEVLT, Delay Recall (NEEA11 with re-coding)",This variable is the scores of the 5th delayed recall trial of the SEVLT test. Definition per Dr. Hector Gonzalez. Only defined for participants who took a neurocognitive assessment (NEE form).,This variable is the scores of the 5th delayed recall trial of the SEVLT test. Definition per Dr. Hector Gonzalez. Only defined for participants who took a neurocognitive assessment (NEE form).,numeric,,,,NA,NA,NA,NA
888,Clinical Data/Diagnostic Studies/Neurocognitive,total_6item,Total Score on 6 Item Screener (with re-coding),Total Score on 6 Item Screener (with re-coding),"This variable is the total score of the 6-item screener, which uses recoding of the original responses per definitions by Dr. Hector Gonzalez. It can take integer values from 0 to 6. Only defined for participants who took a neurocognitive assessment (NEE form).","This variable is the total score of the 6-item screener, which uses recoding of the original responses per definitions by Dr. Hector Gonzalez. It can take integer values from 0 to 6. Only defined for participants who took a neurocognitive assessment (NEE form).",numeric,,,,NA,NA,NA,NA
889,Clinical Data/Diagnostic Studies/Neurocognitive,wordfreq,Word Frequency (A+F) (NEEA12-13),Word Frequency (A+F) (NEEA12-13),This variable is the sum of the score of the A and F parts of the Word Fluency test. Only defined for participants who took a neurocognitive assessment (NEE form).,This variable is the sum of the score of the A and F parts of the Word Fluency test. Only defined for participants who took a neurocognitive assessment (NEE form).,numeric,,,,NA,NA,NA,NA
660,Clinical Data/Laboratory Tests,cardiac_risk_ratio,Cardiac Risk Ratio (TC/HDL) - AHA,Cardiac Risk Ratio (TC/HDL) - AHA,This variable calculates the ratio of total cholesterol by HDL cholesterol.,This variable calculates the ratio of total cholesterol by HDL cholesterol.,numeric,,,,NA,NA,NA,NA
661,Clinical Data/Laboratory Tests,ckd,Chronic Kidney Disease using eGFR only (NIDDK),Chronic Kidney Disease using eGFR only (NIDDK),This variable estimated based on the estimated GFR value and is defined using NIDDK guidelines.,This variable estimated based on the estimated GFR value and is defined using NIDDK guidelines.,choices,,normal_endstage,,NA,NA,NA,NA
662,Clinical Data/Laboratory Tests,dyslipidemia,"Dyslipidemia (High LDL, low HDL, or high triglyerides) - NIH","Dyslipidemia (High LDL, low HDL, or high triglyerides) - NIH","This variable checks for HDL, LDL, and triglyceride values to determine presence/absence of dyslipidemia.","This variable checks for HDL, LDL, and triglyceride values to determine presence/absence of dyslipidemia.",choices,,noyes01,,NA,NA,NA,NA
663,Clinical Data/Laboratory Tests,gfrscr,"eGFR based on serum creatinine, gender, age and race","eGFR based on serum creatinine, gender, age and race","This variable estimates Glomerular filtration rate, based on serum creatinine, and demographics gender, age and race (black vs. nonblack).","This variable estimates Glomerular filtration rate, based on serum creatinine, and demographics gender, age and race (black vs. nonblack).",numeric,,,,NA,NA,NA,NA
